[LEXTOKEN] NIL -> 'nil' (line 64, pos 1102)
[LEXTOKEN] LBRACE -> '{' (line 64, pos 1106)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 65, pos 1110)
[LEXTOKEN] DOT -> '.' (line 65, pos 1113)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 65, pos 1114)
[LEXTOKEN] LPAREN -> '(' (line 65, pos 1121)
[LEXTOKEN] STRING -> '"Error:"' (line 65, pos 1122)
[LEXTOKEN] COMMA -> ',' (line 65, pos 1130)
[LEXTOKEN] IDENTIFIER -> 'err' (line 65, pos 1132)
[LEXTOKEN] RPAREN -> ')' (line 65, pos 1135)
[LEXTOKEN] RBRACE -> '}' (line 66, pos 1138)
[LEXTOKEN] ELSE -> 'else' (line 66, pos 1140)
[LEXTOKEN] LBRACE -> '{' (line 66, pos 1145)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 67, pos 1149)
[LEXTOKEN] DOT -> '.' (line 67, pos 1152)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 67, pos 1153)
[LEXTOKEN] LPAREN -> '(' (line 67, pos 1160)
[LEXTOKEN] STRING -> '"Resultado división:"' (line 67, pos 1161)
[LEXTOKEN] COMMA -> ',' (line 67, pos 1182)
[LEXTOKEN] IDENTIFIER -> 'resultado' (line 67, pos 1184)
[LEXTOKEN] RPAREN -> ')' (line 67, pos 1193)
[LEXTOKEN] RBRACE -> '}' (line 68, pos 1196)
[LEXTOKEN] SWITCH -> 'switch' (line 70, pos 1200)
[LEXTOKEN] IDENTIFIER -> 'persona' (line 70, pos 1207)
[LEXTOKEN] DOT -> '.' (line 70, pos 1214)
[LEXTOKEN] IDENTIFIER -> 'nombre' (line 70, pos 1215)
[LEXTOKEN] LBRACE -> '{' (line 70, pos 1222)
[LEXTOKEN] CASE -> 'case' (line 71, pos 1226)
[LEXTOKEN] STRING -> '"Carlos"' (line 71, pos 1231)
[LEXTOKEN] COLON -> ':' (line 71, pos 1239)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 72, pos 1244)
[LEXTOKEN] DOT -> '.' (line 72, pos 1247)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 72, pos 1248)
[LEXTOKEN] LPAREN -> '(' (line 72, pos 1255)
[LEXTOKEN] STRING -> '"Hola Carlos"' (line 72, pos 1256)
[LEXTOKEN] RPAREN -> ')' (line 72, pos 1269)
[LEXTOKEN] CASE -> 'case' (line 73, pos 1273)
[LEXTOKEN] STRING -> '"Ana"' (line 73, pos 1278)
[LEXTOKEN] COLON -> ':' (line 73, pos 1283)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 74, pos 1288)
[LEXTOKEN] DOT -> '.' (line 74, pos 1291)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 74, pos 1292)
[LEXTOKEN] LPAREN -> '(' (line 74, pos 1299)
[LEXTOKEN] STRING -> '"Hola Ana"' (line 74, pos 1300)
[LEXTOKEN] RPAREN -> ')' (line 74, pos 1310)
[LEXTOKEN] DEFAULT -> 'default' (line 75, pos 1314)
[LEXTOKEN] COLON -> ':' (line 75, pos 1321)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 76, pos 1326)
[LEXTOKEN] DOT -> '.' (line 76, pos 1329)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 76, pos 1330)
[LEXTOKEN] LPAREN -> '(' (line 76, pos 1337)
[LEXTOKEN] STRING -> '"Hola desconocido"' (line 76, pos 1338)
[LEXTOKEN] RPAREN -> ')' (line 76, pos 1356)
[LEXTOKEN] RBRACE -> '}' (line 77, pos 1359)
[LEXTOKEN] RBRACE -> '}' (line 79, pos 1362)
